,,▲,通信会社（営業担当）,・猛暑や災害の影響により農産物の価格が高騰するのではないか。また、企業の経費削減も加速するとみており、投資を控えて米国の関税問題の様子うかがいをしている。日本銀行の政策も鈍化しているように見受けられており、２～３か月先の景気はやや悪くなるとみている。,,,
,,▲,観光名所（職員）,・水害のニュースが全国規模で広がったことで８月の上旬～中旬はキャンセルが相次いだが、８月末に発生している水害に関しても、同様の動きになるとみている。良くなる点が見当たらないため、景気はやや悪くなる見込みである。,,,
,,▲,観光名所（職員）,・平成30年７月豪雨の影響なのか、一時的に関東方面の客足がこちらに向かっているように見受けられるものの、今後は元に戻るとみている。地元の景気は回復しているわけではなく、異常気象による農産物の価格高騰の家計への影響が懸念される。,,,
,,▲,設計事務所（経営者）,・提案ができる企業は上向くが、金額で勝負している企業は下向いていくように見受けられる。県内の設計業全体としては金額に頼る企業が多く、景気はやや悪くなるのではないかとみている。,,,
,,×,商店街（代表者）,・現在は特に、猛暑などの天候不順や災害などにより消費の低迷が激しくなっている。また、社用の予約状況をみても低迷が続いている。そのため、この先の景気はかなり悪くなるとみている。,,,
,,×,一般小売店［医薬品］（経営者）,・この先にある与党総裁選挙や沖縄県知事選挙など、世の中に落ち着きがない。消費を楽しむ状況とは程遠く、消費は落ち込んでいくとみている。,,,
,,×,一般小売店［医薬品］（経営者）,・医薬品の通販が広がっており、ネットやチラシのあちこちに広告を見かけるようになっている。当店は比較的特殊性の高い高価格帯の医薬品を扱っているが、それらも通販案内に載っていることがある。消費者の購入経路がネットにシフトしていくのは時代の流れではあるが、こうなると地方では専門店であっても苦しくなる一方である。,,,
,,×,スーパー（経営者）,・ガソリン価格の高騰や、この先に控えている消費税の引上げに対応するために、消費者の節約志向は今後も強まるとみている。,,,
"企業
動向
関連

(東北)",,◎,金属製品製造業（経営者）,・新規の引き合いが増加していることに加えて、多少価格が高くても構わないと強く依頼を受けることが増えている。,,,
,,○,食料品製造業（営業担当）,・新規の大口受注の予定があるため、販売量の回復が見込まれる。,,,
,,○,出版・印刷・同関連産業（経営者）,・この先のイベント関係による改善が見込まれる。,,,
,,○,輸送業（従業員）,・新規案件はこの先も定期継続される見込みである。,,,
,,○,司法書士,・保有目的が不明確となった不動産の売却に関する事例が増えている。この流れは当面続くとみている。,,,
,,○,その他非製造業［飲食料品卸売業］（経営者）,・地元の事業所からは、前年や今年の初めのように景気が悪いという話はかなり少なくなっている。このような現状から、景気はやや良くなっていくのではないかとみている。,,,
,,○,その他非製造業［飲食料品卸売業］（経営者）,・この先は秋の行楽シーズンに突入する。また、猛暑を脱して気温が下がることによる消費の回復に期待している。,,,
