,,×,一般小売店［医薬品］（経営者）,・現在、備蓄米が５キロ2000円で販売されるとか、光熱費やガソリン代に補助金が出るといった良い話が出ている。しかし、３か月後は首長選挙や参議院選挙があり、消費活動は活発にならないため、更に悪くなるとみている。,,,
,,×,一般小売店［医薬品］（経営者）,・商品の価格上昇は、これ以上はないと思ったところから更に続いている。米の価格も、今以上には上がらないとは言い切れない。米価が落ち着かなければ、生活防衛意識は更に強くなることが予想される。,,,
,,×,スーパー（経営者）,・備蓄米が放出されたとはいえ、地方や中小のスーパーではその米が買えない。また、食品の値上げも続く。,,,
,,×,その他専門店［酒］（経営者）,・米の異常な価格高騰の影響が徐々に出ている。日本酒等の主原料となる米の原価が高騰しているが、販売価格に転嫁できず困っている。米の価格を一刻も早く５キロで2000円の適正価格に戻さなければ市場に悪影響が出てくるとみている。,,,
,,×,一般レストラン（経営者）,・米国の関税政策への不安や変動金利の上昇による影響は大きい。消費の原資を減らすことにつながるため、当面は景気が悪くなる。,,,
,,×,設計事務所（経営者）,・地域的に官公庁に依存している企業も多く、物件単価は上昇しているが、それ以上に人件費、外注費、競合先とのダンピング競争が厳しい。結果、低価格での受注を余儀なくされ、利益を確保できない。,,,
"企業
動向
関連

(東北)",,◎,－,－,,,
,,○,農林水産業（従業者）,・備蓄米の放出により米価は下がるとみられていたが、それほど下がっていない。2025年度の新米の概算金も、前年度より高くなる見込みである。,,,
,,○,経営コンサルタント,・政府が言う備蓄米の店頭価格2000円が実現し、それをきっかけに消費の安心感が広がることを期待している。,,,
,,□,食料品製造業（営業担当）,・新商品の投入やキャンペーンの実施により、落ち込んだ分をカバーしていく。,,,
,,□,食料品製造業（製造担当）,・支払いが高額と低額の客で２極化している。また、店舗間でも売上伸長と停滞の店舗がはっきりと分かれている。米や資材の価格高騰等により、価格改定とコストカットの問題が常に付きまとう。,,,
,,□,出版・印刷・同関連産業（経営者）,・物価高騰のあおりで、需要はますます減るとみている。,,,
,,□,出版・印刷・同関連産業（経営者）,・効率化を進め、ペーパーレス化やデジタル化にかじを切らない限り、紙ベースの印刷や旧態依然の業務だけでは生き残れない。デジタル化の遅れが致命傷になりかねない。,,,
,,□,金属製品製造業（経営者）,・米国の関税政策への警戒感が強まっており、受注拡大の雰囲気を相殺してしまう可能性がある。,,,
,,□,一般機械器具製造業（経営者）,・今のところ受注量は横ばいだが、先行きは不透明である。新規案件の話題も少ないため、２～３か月後の状況は変わらないか、やや悪くなるとみている。,,,
